id,device,timestamp,Device_ID,LOCATION_mAccuracy,LOCATION_mAltitude,LOCATION_mBearing,LOCATION_mDistance,LOCATION_mExtras_networkLocationSource,LOCATION_mExtras_networkLocationType,LOCATION_mHasAccuracy,LOCATION_mHasAltitude,LOCATION_mHasBearing,LOCATION_mHasSpeed,LOCATION_mInitialBearing,LOCATION_mLat1,LOCATION_mLat2,LOCATION_mLatitude,LOCATION_mLon1,LOCATION_mLon2,LOCATION_mLongitude,LOCATION_mProvider,LOCATION_mResults,LOCATION_mSpeed,LOCATION_mTime
4665c617-64f6-4eab-8288-6dc669bca77c-10,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786376,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362786376925
4665c617-64f6-4eab-8288-6dc669bca77c-10,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786376,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362786376925
4665c617-64f6-4eab-8288-6dc669bca77c-11,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786376,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362786376925
4665c617-64f6-4eab-8288-6dc669bca77c-11,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786376,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.20732792,0.0,0.0,-123.06323304,network,0.0,0.0,1362786376925
4665c617-64f6-4eab-8288-6dc669bca77c-12,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786470,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2073017,0.0,0.0,-123.06324277499999,network,0.0,0.0,1362786470141
4665c617-64f6-4eab-8288-6dc669bca77c-12,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786470,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2073017,0.0,0.0,-123.06324277499999,network,0.0,0.0,1362786470141
4665c617-64f6-4eab-8288-6dc669bca77c-13,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786470,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2073017,0.0,0.0,-123.06324277499999,network,0.0,0.0,1362786470141
4665c617-64f6-4eab-8288-6dc669bca77c-13,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786470,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2073017,0.0,0.0,-123.06324277499999,network,0.0,0.0,1362786470141
4665c617-64f6-4eab-8288-6dc669bca77c-14,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786470,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2073017,0.0,0.0,-123.06324277499999,network,0.0,0.0,1362786470141
4665c617-64f6-4eab-8288-6dc669bca77c-14,8ffa2244-c5dc-4ae3-b9c3-8c593440edd8,1362786470,cce1d58557e202ec,42.0,0.0,0.0,0.0,cached,wifi,True,False,False,False,0.0,0.0,0.0,49.2073017,0.0,0.0,-123.06324277499999,network,0.0,0.0,1362786470141
